Sigma_mol,Sigma_SFRMyr,Sigma_SFR
91.53572102753460,0.027292012429041800,0.000000027292012429
95.48890445473350,0.034068256734294100,0.000000034068256734
99.60976561632300,0.041677836283228500,0.000000041677836283
106.10739467411400,0.04996702075767220,0.00000004996702076
110.68988978553400,0.062373168554208400,0.000000062373168554
115.46322035510300,0.07478146376183300,0.00000007478146376
117.93916780766500,0.08787167040396230,0.00000008787167040
123.02887889843500,0.10749892844806400,0.00000010749892845
128.34609713044200,0.13692337145827100,0.00000013692337146
131.09428622655600,0.15767883652244900,0.00000015767883652
142.59651947540000,0.1815581039032370,0.0000001815581039
145.6543026210060,0.21333914934005400,0.00000021333914934
148.7913212349820,0.2663193815433180,0.0000002663193815
158.49710466316000,0.3192868740909260,0.0000003192868741
161.88098449166200,0.35314957791195400,0.00000035314957791
168.86185197109700,0.42340389265582000,0.00000042340389266
168.90321610181900,0.49753957466329700,0.00000049753957466
168.94459036503300,0.5846560049398540,0.0000005846560049
176.24085620801600,0.7298183279567320,0.0000007298183280
187.74294382293200,0.8927958339260760,0.0000008927958339
204.23429686215500,1.0921233206308400,0.0000010921233206
222.16064770125400,1.2831369481583100,0.0000012831369482
222.20826457639400,1.4777014409308400,0.0000014777014409
236.71034419009900,1.8076905439511300,0.0000018076905440
252.1511596681080,2.1672168948319800,0.0000021672168948
246.98615854827900,2.59867592672107,0.00000259867593
274.38412752449100,3.2434923921299700,0.0000032434923921
286.19023206787600,3.6604269528568600,0.0000036604269529
280.30223669983600,4.131466124427400,0.000004131466124
298.6231565159030,5.3693149537895800,0.0000053693149538
324.84428942773500,6.436937724102570,0.000006436937724
338.88382220876800,8.198846516659620,0.000008198846517
338.9772126358840,9.830704423939500,0.000009830704424
311.78705819295300,11.789298794784900,0.000011789298795
269.2826066010610,13.857529245880800,0.000013857529246
218.3774862350580,15.646565678429600,0.000015646565678
159.45594675690200,16.97162287879860,0.00001697162288
118.89629018666400,18.04059083504310,0.00001804059084
96.40245316336300,18.04801288262350,0.00001804801288
70.38299737822140,18.05915167968320,0.00001805915168
57.06732815295320,18.066581363347800,0.000018066581363
51.384736538862100,17.709495975163700,0.000017709495975
47.24134659581350,15.693617639300700,0.000015693617639
47.232669331815600,13.904919506966600,0.000013904919507
47.21098314420860,10.275004222363600,0.000010275004222
44.31317108815720,7.748332115822900,0.000007748332116
47.177750326802200,6.4613423848120900,0.0000064613423848
49.1866109975387,5.498120370180980,0.000005498120370
49.17456527423020,4.678875180130700,0.000004678875180
49.15800722129540,3.747929227146340,0.000003747929227
48.124538719817400,3.1259164280971000,0.0000031259164281
47.10702796309470,2.405065742617580,0.000002405065743
47.09693342645350,2.0883979886752100,0.0000020883979887
47.08251641211520,1.7069558415097500,0.0000017069558415
47.0695448725736,1.4236079482944800,0.0000014236079483
47.053695621822400,1.1403556692576000,0.0000011403556693
47.03929184316640,0.9320717514542400,0.0000009320717515
47.022013128795600,0.7317119870394230,0.0000007317119870
47.00474076133090,0.5744219059764800,0.0000005744219060
46.987474738441000,0.45094317424087100,0.00000045094317424
46.97452938349880,0.37608839752447800,0.00000037608839752
46.95296171706430,0.27790954637384800,0.00000027790954637
46.937151722177300,0.2226144684903580,0.0000002226144685
48.931273087282300,0.17830666699261500,0.00000017830666699
48.91479695565970,0.14282936451363100,0.00000014282936451
48.89682932111450,0.1121265159605880,0.0000001121265160
48.88186133406880,0.09164680891522710,0.00000009164680892
48.86689792892820,0.07490768363208940,0.00000007490768363
48.845956856661800,0.056480560183924400,0.000000056480560184
49.870482342618000,0.04904191788813730,0.00000004904191789
49.870482342618000,0.04904191788813730,0.00000004904191789
49.8552163070891,0.04008449954077040,0.00000004008449954
57.7280621948074,0.03550559809623240,0.00000003550559810
65.46089290425490,0.032745623144475100,0.000000032745623144
72.68902583367930,0.030201432978519800,0.000000030201432979
84.17280808025730,0.02785262375914680,0.00000002785262376
91.53572102753460,0.027292012429041800,0.000000027292012429
