Mdense,SFR
9912996060.4978500,472.3422560
10446608807.8526000,511.0790541
9406640250.7174400,757.4286981
6348286911.1790100,663.8001319
15479371406.8597000,719.3837031
14688685160.6656000,798.9165025
19091274170.8185000,1623.3416926
39775943801.6059000,1317.7934129
