# Column 1: log10 H2 [Msun/pc2]
# Column 2: log10 SFR [Msun/yr/kpc2]
# Column 3: Reference
0.55095911 -2.2157686 HERACLES
0.33385098 -2.3958795 HERACLES
0.074500583 -2.7334514 HERACLES
0.069958441 -2.3125894 HERACLES
-0.072684065 -2.4627695 HERACLES
0.12859140 -2.6763251 HERACLES
0.39543015 -2.9302747 HERACLES
0.38798934 -2.6591191 HERACLES
0.55332911 -2.5103936 HERACLES
0.42687359 -2.5040324 HERACLES
0.34634057 -2.7889733 HERACLES
0.46934161 -2.8662705 HERACLES
0.40745550 -2.7161891 HERACLES
0.41949272 -2.6721354 HERACLES
0.48827612 -2.8660753 HERACLES
0.44280627 -2.8082647 HERACLES
0.36338255 -2.5611296 HERACLES
0.36309761 -2.4419057 HERACLES
0.53691334 -2.1282754 HERACLES
0.59025264 -2.0240231 HERACLES
0.42183384 -2.2322431 HERACLES
0.55167979 -2.4756160 HERACLES
0.73216689 -2.5840383 HERACLES
0.70760381 -2.6426470 HERACLES
0.58939207 -2.5684261 HERACLES
0.60479546 -2.5753558 HERACLES
0.58964056 -2.7908163 HERACLES
0.40724131 -2.6067309 HERACLES
0.54781955 -2.3813081 HERACLES
0.69841856 -2.0520000 HERACLES
0.83789343 -1.7442874 HERACLES
0.79912770 -1.7837945 HERACLES
0.72577310 -2.1035354 HERACLES
0.88231671 -2.3253355 HERACLES
0.87814754 -2.4062171 HERACLES
0.74321890 -2.4559724 HERACLES
0.66298473 -2.4865532 HERACLES
0.70892620 -2.5662293 HERACLES
0.60759687 -2.7094846 HERACLES
0.55193818 -2.5241582 HERACLES
0.82352459 -2.2498314 HERACLES
1.0341693 -1.8553983 HERACLES
1.0448809 -1.7349361 HERACLES
0.88322800 -1.9462246 HERACLES
0.86226594 -2.2037783 HERACLES
0.93844074 -2.2540262 HERACLES
0.83342618 -2.2983410 HERACLES
0.67810833 -2.3342988 HERACLES
0.72573721 -2.4425616 HERACLES
0.70895070 -2.5364654 HERACLES
0.48957148 -2.5770743 HERACLES
0.50460410 -2.6937246 HERACLES
0.80456358 -2.4141066 HERACLES
1.0361483 -2.1600788 HERACLES
1.1213042 -2.0084848 HERACLES
1.0122380 -2.0756633 HERACLES
0.79042459 -2.2905259 HERACLES
0.81235033 -2.3349209 HERACLES
0.83681190 -2.2936134 HERACLES
0.79041660 -2.1918881 HERACLES
0.81228137 -2.1011524 HERACLES
0.80838978 -2.2332902 HERACLES
0.60181618 -2.4235485 HERACLES
0.44709104 -2.9166272 HERACLES
0.66533607 -2.5065784 HERACLES
0.90918267 -2.0663776 HERACLES
1.0800072 -1.9334391 HERACLES
1.0403374 -2.2037308 HERACLES
0.86309856 -2.5470011 HERACLES
0.69893652 -2.6087210 HERACLES
0.76363361 -2.4538784 HERACLES
0.91241360 -2.2132230 HERACLES
1.0206153 -1.9121428 HERACLES
0.96093714 -1.8472385 HERACLES
0.70347983 -2.1324172 HERACLES
0.63388926 -2.7008226 HERACLES
0.81906754 -2.1327081 HERACLES
0.96822149 -1.8064194 HERACLES
0.97507161 -1.9352212 HERACLES
0.89892083 -2.4254358 HERACLES
0.78405440 -2.7454157 HERACLES
0.76560974 -2.5972853 HERACLES
0.93291700 -2.3585446 HERACLES
1.0838313 -2.0846300 HERACLES
1.0957197 -1.8678191 HERACLES
0.96246046 -1.9125277 HERACLES
0.63076687 -2.2349300 HERACLES
0.48183212 -2.8849950 HERACLES
0.69786799 -2.9144444 HERACLES
0.81545293 -2.6103802 HERACLES
0.89509183 -2.1270201 HERACLES
0.84577972 -2.0094113 HERACLES
0.81603372 -2.3274164 HERACLES
0.80579531 -2.6630156 HERACLES
0.78054196 -2.6946359 HERACLES
0.82885975 -2.5574493 HERACLES
0.97502530 -2.4295590 HERACLES
1.0772830 -2.2730787 HERACLES
1.0761596 -2.0930505 HERACLES
0.95569849 -2.1378288 HERACLES
0.61274254 -2.3793859 HERACLES
0.48689836 -2.9405305 HERACLES
0.62599212 -2.8031719 HERACLES
0.51862651 -2.8899856 HERACLES
0.34345046 -2.9941490 HERACLES
0.51864320 -2.8605814 HERACLES
0.70097917 -2.9207439 HERACLES
0.82019705 -2.9387128 HERACLES
0.91058218 -2.6738665 HERACLES
0.88603264 -2.3999090 HERACLES
0.83081412 -2.3501201 HERACLES
0.86729693 -2.4031544 HERACLES
0.86451852 -2.5139492 HERACLES
0.86048615 -2.5284693 HERACLES
0.83759695 -2.4940338 HERACLES
0.92633355 -2.5471323 HERACLES
1.0567558 -2.4826210 HERACLES
1.0932721 -2.2978618 HERACLES
0.98862821 -2.2006192 HERACLES
0.70950574 -2.3315926 HERACLES
0.55494672 -2.7093756 HERACLES
0.67533493 -2.9302380 HERACLES
0.67925715 -2.6814921 HERACLES
0.73430157 -2.4385021 HERACLES
0.82374883 -2.3671496 HERACLES
0.55767775 -2.6804762 HERACLES
0.83481187 -2.8619385 HERACLES
0.91276276 -2.6953630 HERACLES
0.93537331 -2.3988547 HERACLES
0.98428261 -2.2067263 HERACLES
0.97750801 -2.2467196 HERACLES
0.98851627 -2.3534224 HERACLES
0.93262964 -2.3291433 HERACLES
0.84431481 -2.3940516 HERACLES
0.89983833 -2.5368316 HERACLES
1.0544937 -2.4715309 HERACLES
1.0748456 -2.2519927 HERACLES
1.0563689 -2.1080914 HERACLES
0.90970659 -2.2558560 HERACLES
0.73671883 -2.6114335 HERACLES
0.76087475 -2.5290513 HERACLES
0.82046777 -2.2418740 HERACLES
0.92226028 -2.1549287 HERACLES
0.86534774 -2.2986093 HERACLES
0.66095543 -2.7317851 HERACLES
0.79146779 -2.7245936 HERACLES
0.89497417 -2.5662465 HERACLES
