     1.95604    4.63313E-02    4.18617E-02  -0.298709  0.   0.310694
     1.27593    4.57687E-02    4.14019E-02   -1.66912  0.   0.310488
     2.97045    4.62070E-02    4.17600E-02    1.44162  0.   0.310488
     1.73503    6.21746E-02    5.43782E-02  -0.441591  0.   0.317443
     1.79892    3.00599E-02    2.81132E-02  -0.868314  0.   0.305309
     2.36818    4.79507E-02    4.31790E-02   0.519946  0.   0.311264
     1.70781    4.21319E-02    3.84035E-02  -0.753024  0.   0.309126
     1.19478    6.21543E-02    5.43625E-02   -1.67821  0.   0.317443
     2.54452    9.27782E-02    7.64046E-02   0.563889  0.   0.333344
     1.38529    5.80137E-02    5.11695E-02   -1.06182  0.   0.315551
     2.80788    5.34506E-02    4.75872E-02    1.64684  0.   0.313491
     1.18687    1.70376E-02    1.63945E-02   -2.58775  0.   0.302468
