Ref,logLIR,logLHCN,Type
Stephens16       ,3.60027,1.18027, I 
Stephens16       ,5.15002,1.87002, I 
Stephens16       ,5.51190,2.31190, I 
Stephens16       ,4.11609,2.06609, I 
Stephens16       ,5.39597,1.97597, I 
Stephens16       ,5.85470,3.06470, I 
Stephens16       ,4.78027,2.03027, I 
Stephens16       ,4.56221,2.36221, I 
Stephens16       ,4.58066,1.77066, I 
Stephens16       ,3.78805,1.60805, I 
Stephens16       ,4.54814,2.04813, I 
Stephens16       ,4.84686,1.76686, I 
Stephens16       ,4.45489,1.50489, I 
Stephens16       ,5.91309,2.25309, I 
Stephens16       ,5.75349,2.73349, I 
Stephens16       ,5.31170,2.46170, I 
Stephens16       ,4.94594,2.35594, I 
Stephens16       ,5.16546,2.45546, I 
Stephens16       ,5.68909,3.02909, I 
Stephens16       ,5.74650,2.66650, I 
Stephens16       ,5.72156,2.78156, I 
Stephens16       ,5.59641,2.57641, I 
Stephens16       ,5.59926,2.73926, I 
Stephens16       ,4.18694,1.54694, I 
Stephens16       ,6.34765,2.89765, I 
Stephens16       ,6.22243,2.87243, I 
Stephens16       ,5.22305,2.26305, I 
Stephens16       ,3.40649,1.02649, I 
Stephens16       ,4.84064,2.63064, I 
Stephens16       ,6.11789,2.94789, I 
Stephens16       ,5.19303,2.21303, I 
Stephens16       ,5.57597,2.83597, I 
Stephens16       ,5.10906,2.51905, I 
Stephens16       ,4.54400,1.81400, I 
Stephens16       ,4.63344,1.77344, I 
Stephens16       ,4.13109,1.32109, I 
Stephens16       ,4.81868,2.12868, I 
Stephens16       ,5.61521,2.68521, I 
Stephens16       ,5.23764,2.82764, I 
Stephens16       ,5.58672,2.56673, I 
Stephens16       ,3.87276,1.72276, I 
Stephens16       ,4.72657,2.02657, I 
Stephens16       ,4.25814,1.76814, I 
Stephens16       ,5.29189,2.44189, I 
Stephens16       ,4.90303,2.21303, I 
Stephens16       ,4.59175,2.48175, I 
Stephens16       ,4.86710,1.60710, I 
Stephens16       ,3.67268,1.09268, I 
Stephens16       ,3.92050,1.35050, I 
Stephens16       ,5.42141,2.03141, I 
Stephens16       ,-1.99042,1.10958, I 
Stephens16       ,4.46143,2.28143, I 
Stephens16       ,5.65714,2.35714, I 
Stephens16       ,4.95710,1.41710, I 
Stephens16       ,4.98831,1.59831, I 
Stephens16       ,4.78388,2.67388, I 
Stephens16       ,6.62067,3.52067, I 
Stephens16       ,5.86607,3.13607, I 
Stephens16       ,3.16180,0.831799, I 
Stephens16       ,5.79345,2.70345, I 
Stephens16       ,2.98543,0.725433, I 
Stephens16       ,5.67592,2.51592, I 
Stephens16       ,5.16281,2.31281, I 
Stephens16       ,5.07829,2.33829, I 
Stephens16       ,4.88771,1.91771, I 
Stephens16       ,4.37267,1.92267, I 
Stephens16       ,4.12485,1.74485, I 
Stephens16       ,5.88315,2.56315, I 
Wu10             ,2.85000,0.530000, I 
Wu10             ,3.76000,1.36000, I 
Wu10             ,5.09000,1.96000, I 
Wu10             ,4.03000,1.49000, I 
Wu10             ,3.72000,1.36000, I 
Wu10             ,4.14000,1.49000, I 
Wu10             ,4.56000,1.41000, I 
Wu10             ,4.82000,2.22000, I 
Wu10             ,5.45000,1.72000, I 
Wu10             ,4.26000,1.38000, I 
Wu10             ,5.75000,2.34000, I 
Wu10             ,6.05000,2.78000, I 
Wu10             ,4.27000,1.46000, I 
Wu10             ,5.98000,3.03000, I 
Wu10             ,5.29000,2.89000, I 
Wu10             ,5.36000,2.23000, I 
Wu10             ,6.24000,2.88000, I 
Wu10             ,5.48000,2.17000, I 
Wu10             ,4.68000,1.40000, I 
Wu10             ,6.69000,3.44000, I 
Wu10             ,6.06000,3.12000, I 
Wu10             ,6.60000,3.40000, I 
Wu10             ,4.10000,1.53000, I 
Wu10             ,4.53000,1.74000, I 
Wu10             ,5.03000,1.69000, I 
Wu10             ,6.32000,2.68000, I 
Wu10             ,5.16000,2.26000, I 
Wu10             ,5.71000,2.42000, I 
Wu10             ,5.71000,2.26000, I 
Wu10             ,5.29000,2.11000, I 
Wu10             ,5.70000,0.290000, I 
Wu10             ,4.70000,2.39000, I 
Wu10             ,4.92000,0.930000, I 
Wu10             ,5.29000,2.40000, I 
Wu10             ,4.35000,1.56000, I 
Wu10             ,4.47000,1.86000, I 
Wu10             ,2.47000,0.380000, I 
