LHCN,LIR,logLHCN,logLIR
187137.89576723200,284783373.186502,5.27216174184,8.454515
485118.22371165800,476157414.72825100,5.68584758942,8.67775055
978743.1606626290,1939869942.335580,5.9906687403,9.287773
2537199.328997290,959265373.6276480,6.404354588,8.9819388
2948990.720073390,1936762582.5529600,6.469673406,9.2870764
2804790.7505370200,2448230019.8338300,6.4479004666,9.3888522
5118889.312164670,2446090147.264120,6.709175739,9.388472
5949692.996577500,5175578660.159360,6.774494557,9.713959
11416757.285568900,6236527691.972550,7.057542768,9.794943
