13.70	0.2038
14.97	0.3248
15.41	0.3286
15.64	0.3159
19.06	0.4784
22.33	0.3026
23.86	0.3643
24.24	0.5199
26.23	0.3805
28.03	0.4823
28.69	0.7903
29.66	0.2841
30.39	0.6748
30.79	0.3882
31.49	0.4805
31.93	0.3851
32.19	0.5118
32.37	0.3136
32.62	0.3462
33.05	0.2278
33.34	0.3394
33.37	0.4619
33.38	0.5241
34.26	0.1960
34.63	0.5496
35.10	0.3975
38.57	0.3837
39.68	0.2910
39.73	0.4269
40.25	0.2585
41.18	0.3792
42.40	0.3718
42.41	0.3992
42.45	0.5432
42.72	0.4088
42.98	0.2831
43.01	0.3546
43.34	0.3898
44.05	0.6912
44.94	0.3718
44.98	0.5020
45.30	0.4694
45.95	0.4219
46.29	0.4372
46.69	0.6489
47.63	0.3718
48.70	0.4104
49.41	0.4104
50.49	0.3823
50.81	0.2854
50.86	0.3930
50.90	0.4807
52.02	0.4845
52.78	0.4676
55.57	0.5608
57.19	0.5141
58.84	0.4073
60.03	0.2380
61.51	0.5101
61.89	0.3719
63.68	0.3005
63.71	0.3575
67.57	0.4187
68.05	0.4041
69.15	0.6265
69.62	0.5478
71.06	0.3533
73.17	0.3690
73.79	0.5413
74.26	0.3947
76.46	0.4073
76.51	0.5082
77.64	0.5266
78.11	0.3534
78.17	0.4604
82.84	0.4238
84.13	0.5744
85.92	0.4550
86.58	0.5043
86.63	0.6119
87.27	0.6316
87.87	0.5350
88.52	0.5610
89.66	0.3189
92.45	0.5184
94.50	0.5436
97.93	0.4238
102.4	0.6519
102.9	0.3090
106.8	0.4515
107.6	0.3795
110.9	0.6367
111.6	0.4848
113.3	0.5723
115.0	0.5458
115.1	0.8362
130.1	0.4965
132.1	0.6974
133.0	0.6219
142.9	0.4607
152.8	0.6026
165.6	0.7003
171.4	0.4411
173.0	0.7549
180.6	0.6705
188.8	0.8235
192.8	0.6221
194.4	0.7916
198.5	0.5749
239.9	0.6371
250.9	0.9164
271.4	0.5660
368.3	0.5294
399.2	0.6450
