Mdense,SFR
75.2450322,0.0000030
124.3086337,0.0000029
179.5450727,0.0000049
164.0198239,0.0000167
259.0450538,0.0000247
1304.4143030,0.0000770
1762.7933589,0.0000823
3220.3629421,0.0000688
1883.7644654,0.0001471
7265.1392473,0.0001554
13701.6217251,0.0007022
342801.8951943,0.0676937
